GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ticket-service,com.epam.training.ticketservice.core.screening,ScreeningServiceImpl,0,289,8,28,0,81,8,18,0,8
ticket-service,com.epam.training.ticketservice.core.user.model,UserDto,6,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.core.seat.model,Seat,41,15,8,0,7,5,6,2,2,2
ticket-service,com.epam.training.ticketservice.core.finance.pricecomponent.persistence.entity,PriceComponent,0,9,0,0,0,4,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.user.persistence.entity,User,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.user.persistence.entity,User.Role,0,15,0,0,0,3,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.movie,MovieServiceImpl,11,107,0,6,4,29,1,9,1,6
ticket-service,com.epam.training.ticketservice.core.booking.model,BookingDto,37,15,2,0,8,6,2,1,1,1
ticket-service,com.epam.training.ticketservice,Application,8,0,0,0,3,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.configuration,PersistentDatabaseInitializer,31,0,2,0,7,0,2,0,1,0
ticket-service,com.epam.training.ticketservice.core.configuration,InMemoryDatabaseInitializer,31,0,2,0,7,0,2,0,1,0
ticket-service,com.epam.training.ticketservice.core.movie.persistence.entity,Movie,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.finance,PriceCalculatorServiceImpl,0,101,0,8,0,23,0,5,0,1
ticket-service,com.epam.training.ticketservice.core.user,UserServiceImpl,0,52,0,2,0,12,0,5,0,4
ticket-service,com.epam.training.ticketservice.core.booking,BookingServiceImpl,0,82,0,0,0,24,0,4,0,4
ticket-service,com.epam.training.ticketservice.core.screening.persistence.entity,Screening,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.room.model,RoomDto,15,26,1,7,1,4,2,4,1,1
ticket-service,com.epam.training.ticketservice.core.room.persistence.entity,Room,0,12,0,0,0,5,0,1,0,1
ticket-service,com.epam.training.ticketservice.core.movie.model,MovieDto,8,0,0,0,1,0,1,0,1,0
ticket-service,com.epam.training.ticketservice.core.room,RoomServiceImpl,0,104,0,6,0,29,0,9,0,6
ticket-service,com.epam.training.ticketservice.core.finance.pricecomponent,PriceComponentServiceImpl,0,328,3,35,0,79,3,27,0,11
ticket-service,com.epam.training.ticketservice.ui.configuration,PromptConfiguration,11,0,0,0,2,0,2,0,2,0
ticket-service,com.epam.training.ticketservice.core.booking.persistence.entity,Booking,0,21,0,0,0,8,0,1,0,1
